Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,62.7, , , , , , 
Angola,, , , , ,, , , , ,86.5, , , , ,86.5, ,76.2, ,65.8, , , , ,55.5, , , , , , 
Argentina,30.5, , , , ,31.7, , , , ,32.9, , , , ,26.2, ,23.5, ,20.8, , , , ,16.7, , , , , , 
Armenia,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,14.4, , , , , , 
Bangladesh,87.3, , , , ,84.7, , , , ,77.8, , , , ,70.8, ,66.2, ,61.6, , , , ,55.1, , , , , , 
Belize,, , , , ,, , , , ,, , , , ,, ,18.7, ,, , , , ,10.8, , , , , , 
Benin,79.3, , , , ,76.8, , , , ,74.3, , , , ,71.8, ,70.8, ,69.8, , , , ,61.5, , , , , , 
Bolivia,62.2, , , , ,58.2, , , , ,54.3, , , , ,50.4, ,48.8, ,47.3, , , , ,43.5, , , , , , 
Brazil,36.7, , , , ,34.1, , , , ,31.5, , , , ,29, ,28, ,26.9, , , , ,22.3, , , , , , 
Burkina Faso,78.8, , , , ,72.4, , , , ,65.9, , , , ,59.5, ,59.5, ,, , , , ,65.8, , , , , , 
Burundi,, , , , ,, , , , ,, , , , ,64.3, ,64.3, ,, , , , ,57.9, , , , , , 
Cambodia,, , , , ,, , , , ,, , , , ,78.9, ,, ,, , , , ,55.1, , , , , , 
Cameroon,50.8, , , , ,49.6, , , , ,48.4, , , , ,47.4, ,46.6, ,46.1, , , , ,37.8, , , , , , 
Central African Republic,87.5, , , , ,89.7, , , , ,91.9, , , , ,94.1, ,95, ,95.9, , , , ,93.3, , , , , , 
Chad,98.9, , , , ,96.4, , , , ,93.9, , , , ,91.3, ,90.3, ,89.3, , , , ,88.2, , , , , , 
Chile,, , , , ,, , , , ,, , , , ,9, ,, ,, , , , ,, , , , , , 
China,43.6, , , , ,40.5, , , , ,37.3, , , , ,32.9, ,31, ,29.1, , , , ,25.2, , , , , , 
Colombia,31.2, , , , ,26.8, , , , ,22.3, , , , ,17.9, ,16.1, ,14.3, , , , ,13.1, , , , , , 
Comoros,65.4, , , , ,65.4, , , , ,65.4, , , , ,68.9, ,68.9, ,, , , , ,69.6, , , , , , 
Congo,, , , , ,, , , , ,, , , , ,53.4, ,51.7, ,49.9, , , , ,46.9, , , , , , 
Costa Rica,, , , , ,, , , , ,, , , , ,10.9, ,, ,, , , , ,5.5, , , , , , 
Cote d'Ivoire,53.4, , , , ,54.3, , , , ,55.3, , , , ,56.2, ,56.6, ,57, , , , ,56, , , , , , 
Democratic Republic of the Congo,, , , , ,, , , , ,, , , , ,76.4, ,69.1, ,61.7, , , , ,74.8, , , , , , 
Djibouti,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,65.6, , , , , , 
Dominican Republic,27.9, , , , ,24.4, , , , ,21, , , , ,17.6, ,16.2, ,14.8, , , , ,12.1, , , , , , 
Ecuador,, , , , ,, , , , ,, , , , ,21.5, ,, ,, , , , ,36, , , , , , 
Egypt,50.2, , , , ,39.2, , , , ,28.1, , , , ,17.1, ,14.4, ,13.1, , , , ,10.6, , , , , , 
El Salvador,, , , , ,, , , , ,, , , , ,28.9, ,, ,, , , , ,, , , , , , 
Equatorial Guinea,, , , , ,, , , , ,, , , , ,66.3, ,, ,, , , , ,66.2, , , , , , 
Ethiopia,95.5, , , , ,95.5, , , , ,88.6, , , , ,81.8, ,79.1, ,76.4, , , , ,73.9, , , , , , 
French Guiana,, , , , ,, , , , ,, , , , ,10.5, ,, ,, , , , ,, , , , , , 
Gabon,, , , , ,, , , , ,, , , , ,38.7, ,, ,, , , , ,37, , , , , , 
Gambia,, , , , ,, , , , ,, , , , ,45.4, ,34.8, ,, , , , ,34.8, , , , , , 
Ghana,65.5, , , , ,58.8, , , , ,52.1, , , , ,45.4, ,42.8, ,40.1, , , , ,37.9, , , , , , 
Grenada,, , , , ,, , , , ,, , , , ,6, ,, ,, , , , ,, , , , , , 
Guadeloupe,, , , , ,, , , , ,, , , , ,5.4, ,, ,, , , , ,, , , , , , 
Guatemala,58.6, , , , ,53.3, , , , ,48.1, , , , ,42.9, ,40.8, ,38.7, , , , ,34.5, , , , , , 
Guinea,80.4, , , , ,68.8, , , , ,57.3, , , , ,45.7, ,45.7, ,, , , , ,43.3, , , , , , 
Guinea-Bissau,, , , , ,, , , , ,, , , , ,83.1, ,, ,, , , , ,82.3, , , , , , 
Guyana,, , , , ,, , , , ,, , , , ,33.7, ,33.5, ,33.2, , , , ,33.1, , , , , , 
Haiti,93.4, , , , ,93.4, , , , ,93.4, , , , ,70.1, ,70.1, ,70.1, , , , ,74.4, , , , , , 
Honduras,, , , , ,, , , , ,, , , , ,34.9, ,, ,, , , , ,27.5, , , , , , 
India,54.9, , , , ,48.2, , , , ,41.5, , , , ,34.8, ,32.1, ,29.4, , , , ,24, , , , , , 
Indonesia,50.8, , , , ,42.6, , , , ,34.4, , , , ,26.3, ,23, ,23, , , , ,21.8, , , , , , 
Iraq,16.9, , , , ,16.9, , , , ,16.9, , , , ,52.8, ,52.8, ,52.8, , , , ,47.2, , , , , , 
Jamaica,, , , , ,, , , , ,, , , , ,60.5, ,, ,, , , , ,, , , , , , 
Jordan,, , , , ,, , , , ,, , , , ,15.8, ,17.7, ,19.6, , , , ,12.9, , , , , , 
Kenya,54.9, , , , ,54.8, , , , ,54.8, , , , ,54.8, ,54.8, ,54.7, , , , ,56, , , , , , 
Lao People's Democratic Republic,, , , , ,, , , , ,, , , , ,79.3, ,, ,, , , , ,31.4, , , , , , 
Lebanon,, , , , ,, , , , ,, , , , ,53.1, ,, ,, , , , ,, , , , , , 
Lesotho,, , , , ,, , , , ,, , , , ,35.1, ,44.4, ,53.7, , , , ,50.8, , , , , , 
Liberia,, , , , ,, , , , ,, , , , ,, ,, ,68.3, , , , ,65.7, , , , , , 
Madagascar,93, , , , ,88.6, , , , ,84.1, , , , ,80.6, ,78, ,76.2, , , , ,77.2, , , , , , 
Malawi,66.4, , , , ,66.4, , , , ,66.4, , , , ,66.4, ,67.7, ,68.9, , , , ,66.7, , , , , , 
Mali,94.2, , , , ,84.8, , , , ,75.4, , , , ,65.9, ,65.9, ,65.9, , , , ,56.3, , , , , , 
Mauritania,, , , , ,, , , , ,, , , , ,, ,, ,, , , , ,79.9, , , , , , 
Mexico,23.1, , , , ,21.5, , , , ,19.9, , , , ,14.4, ,14.4, ,, , , , ,11.1, , , , , , 
Mongolia,68.5, , , , ,66.7, , , , ,64.9, , , , ,57.9, ,57.9, ,, , , , ,42.7, , , , , , 
Morocco,37.4, , , , ,35.2, , , , ,24.2, , , , ,13.1, ,13.1, ,13.1, , , , ,13.1, , , , , , 
Mozambique,75.6, , , , ,76.9, , , , ,78.2, , , , ,79.5, ,80, ,80.5, , , , ,80.3, , , , , , 
Myanmar,, , , , ,, , , , ,, , , , ,45.6, ,, ,, , , , ,41, , , , , , 
Namibia,34.4, , , , ,34.1, , , , ,33.9, , , , ,33.9, ,33.6, ,33.5, , , , ,33.2, , , , , , 
Nepal,70.6, , , , ,67.3, , , , ,64, , , , ,60.7, ,59.4, ,58.1, , , , ,54.3, , , , , , 
Nicaragua,89.1, , , , ,74.5, , , , ,60, , , , ,45.5, ,45.5, ,, , , , ,, , , , , , 
Niger,83.6, , , , ,83.1, , , , ,82.6, , , , ,82.1, ,81.9, ,81.7, , , , ,70.1, , , , , , 
Nigeria,77.3, , , , ,73.5, , , , ,69.6, , , , ,65.8, ,64.2, ,62.7, , , , ,50.2, , , , , , 
Pakistan,51, , , , ,49.8, , , , ,48.7, , , , ,47.5, ,47, ,46.6, , , , ,45.5, , , , , , 
Panama,, , , , ,, , , , ,, , , , ,23, ,, ,, , , , ,25.8, , , , , , 
