"Country","Population","Over65_perc","Over80F_percf","Over80M_percm","Slums_perc","GDP_pcap_ppp","Imports_percgdp","PartTime_perc","Salaried_perc","Poverty_perc","StatsCapacity","SciArticles","HealthSpend_pcap_ppp","LifeExp","HospBed_per10thou","MD_per10thou","HygBasic_natperc","HygLimit_natperc","HygNone_natperc","HygBasic_ruralperc","HygLimit_ruralperc","HygNone_ruralperc","HygBasic_urbanperc","HygLimit_urbanperc","HygNone_urbanperc"
"Afghanistan",37172386,2.58492693988024,0.32098229099271,0.233325824490103,62.7,1955.00620775557,45.3320652802564,NA,17.6720008850098,35.8,50,111.72,174.73063659668,64.486,5,2.84,"38","34","28","29","38","33","64","23","13"
"Albania",2866376,13.7447359109736,3.03395389713644,2.44807869374057,NA,13364.1553966514,45.3977304984143,23.9300003051758,44.6310005187988,14.3,72.2222333333333,180.36,NA,78.458,29,11.998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria",42228429,6.36249654497986,1.36021372462712,1.18175549748212,NA,15481.7876195754,32.3410220592228,19.3899993896484,68.3889999389648,NA,48.8888666666667,5231.44,974.807678222656,76.693,19,18.3,"84","8","8","73","13","14","88","6","6"
"American Samoa",55465,NA,NA,NA,NA,NA,99.3710691823899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",77006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,5237.24169921875,NA,NA,33.333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",30809762,2.21637364776329,0.337248804110499,0.2075326253215,55.5,6452.35516529031,23.2527213968366,NA,29.7430000305176,36.6,45.5555666666667,30.12,185.854034423828,60.782,8,2.149,"27","15","58","13","14","73","34","16","50"
"Antigua and Barbuda",96286,8.79982551980558,1.85909391733349,1.53816325211659,NA,26868.1335238429,47.8009709238472,NA,NA,NA,51.1111333333333,5.63,1070.76916503906,76.885,38,27.647,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arab World",419790588,4.55787642361103,0.889501032948601,0.590620791746264,NA,17570.1375962038,39.5637909145932,NA,69.4197679019782,NA,NA,58771.07,1014.5592220972,71.6225263276687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina",44494502,11.1177888760774,3.4475320307634,1.77481880389002,16.7,20610.5685495282,16.4199284119137,37.7900009155273,74.2870025634766,NA,76.6666666666667,8811.13,1916.50415039063,76.52,50,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia",2951776,11.2538176570131,3.78826990015616,2.45959959671612,14.4,10343.1755901515,53.4824517351464,32.9599990844727,60.1080017089844,32,90.0000333333333,521.33,1001.06903076172,74.945,42,28.99,"94","1","5","90","0","10","97","1","2"
"Aruba",105845,13.5509471396854,2.85781087011259,1.72756946103017,NA,39454.6298306781,75.237898220935,NA,NA,NA,NA,NA,NA,76.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
